,Text,Date,Retweets,Favorites,Mentions,HashTags
25,What is the guarantee that Zomato and Swiggy delivery are safe ? Lockdown means lockdown have food what has been cooked at home not by others. Please friends avoid home delivery foods till we overcome this COVID-19 Share as much as you can. @ZeeNews @abpanandatv @ABPNews,2020-04-02 16:16:58+00:00,0,0,@ZeeNews @abpanandatv @ABPNews,
26,"@trollkejr1wal Respected Sir is banned from delivery of Zomoto during lockdown because food is not safe and please banned delivery of food to Zomoto and Swiggy Domonz, Burger King, pizza hut restaurantZomato and Swiggy are banned in other states. Please take action.",2020-04-02 17:30:04+00:00,0,0,@trollkejr1wal,
27,@cmohry good morning sir. I m searching dettoll sanitizer since the lockdown. Not able to find on any of the shops or on online stores like @Grofers or @swiggy_in online stores. Please take some action sir. Thank u very much.,2020-04-03 04:23:06+00:00,0,0,@cmohry @Grofers @swiggy_in,
28,"This is true. Even once the lockdown is lifted, my parents won’t be allowed out of the home. We will self quarantine for a while. No outstation trips, no Zomato. Order provisions online. No more using cash for next few months. Only payment apps - avoid handling cash.",2020-04-03 05:02:25+00:00,0,1,,
29,. @Zomato said all proceeds from its Gold membership subscriptions in April will go into a fund created to support restaurant workers hit by the Covid-19 lockdown https://tech.economictimes.indiatimes.com/news/internet/zomato-to-use-gold-subscriptions-to-aid-restaurant-workers/74960876 @deepigoyal,2020-04-03 05:20:00+00:00,0,2,@Zomato @deepigoyal,
30,"@gurgaonpolice This is to bring to your notice that delivery boy of @Zomato @Swiggy are still working during lockdown and from the picture,it's evident that they are having a chat on their bikes so close to each other without any protection.This is in front of Harish Bakers sec56 ",2020-04-03 05:38:14+00:00,0,0,@gurgaonpolice @Zomato @swiggy,
31,Sir I work in zomato as delivery boy and for last 14 days I am at my home for lockdown purpose but now I want to work because my financial condition is very bad can I work in this situation please reply me,2020-04-03 08:00:50+00:00,0,0,,
32,@SwiggyCares Thank you swiggy for handling my query efficiently and professionally even during a lockdown. Your customer care rep was very helpful and empathetic. This is one of the reasons I always choose swiggy over others. Thanks again.,2020-04-03 08:14:03+00:00,0,0,@SwiggyCares,
33,"@narendramodi @PMOIndia @AmitShahOffice @AmitShah now time for army.we need 100 percent Lockdown haroz rahsan ki dukani khulege to kuch nahi hoegA, do din ka time de police lage Jayad In part uske baad 100 percent lockdown only home Delivry by police or Swiggy in emergency only",2020-04-03 09:16:34+00:00,0,0,@narendramodi @PMOIndia @AmitShahOffice @AmitShah,
34,"Really Great Salute To online food delivery executives @swiggy_in @ZomatoIN @DunzoIt etc many online delivers app, who is supporting citizen during national lockdown, Even executive is maintain hygiene &amp; following COVID-19 rules. #SupportLockdownStaySafe #StandWithCoronaHeroes",2020-04-03 12:46:03+00:00,0,0,@swiggy_in @ZomatoIN @DunzoIt,#SupportLockdownStaySafe #StandWithCoronaHeroes
35,"Here's an exciting news for all the foodies out there; Narayani Heights is now open for takeaways. With Narayani Heights, you don’t have to lock down your cravings for good food amidst the corona virus’s lockdown. Call or WhatsApp on +919730259033. Also, available on Swiggy. . ",2020-04-03 12:48:15+00:00,0,0,,
36," Online food delivery orders for Zomato and Swiggy have dropped 70% in the last 10 days to under 1 million a day, as customers step back and top restaurants shut shop amid a lockdown induced by the Covid-19 virus outbreak https://tech.economictimes.indiatimes.com/news/internet/zomato-swiggy-see-70-drop-in-orders-amid-lockdown/74969842 @AditiS90",2020-04-03 13:56:56+00:00,5,2,@AditiS90,
37,Only good thing about this lockdown is Domino's and swiggy are still delivering in my area,2020-04-03 14:46:45+00:00,0,3,,
38,Marico Ties up with @swiggy_in and @ZomatoIN to deliver essential items during lockdown. @hcmariwala Testing times accelerate innovations and business model evolution. Would love to see how this pans out in the post COVID era :) PS: The Internet is a by-product of World War 2,2020-04-03 15:00:45+00:00,9,122,@swiggy_in @ZomatoIN @hcmariwala,
39,Please help by donating to 'Feed the Daily Wager' by Zomato Feeding India (@FeedingIndia) and provide food support to daily wagers who lost their livelihood due to COVID-19 lockdown. Click to donate – https://www.feedingindia.org/donate Read more – https://www.zomato.com/blog/feed-daily-wager Spread the word.,2020-04-03 15:51:18+00:00,0,0,@FeedingIndia,
40,"food delivery: Zomato, Swiggy see 70% drop in orders amid lockdown “From a steady state of 2.5 million deliveries a day, today we are at sub 1 million orders which are marginally inching up,” said an investor in the food delivery space ",2020-04-03 16:01:32+00:00,0,2,,
41,@Zomato @swiggy_in @SwiggyCares @zomatocare @MoHFW_INDIA @PMOIndia In this lockdown they being a non essential service is operational ?? How?? How ministry is ensuring that every person in the process of cooking is free from virus? Who taking record of their medical condition??,2020-04-03 16:02:43+00:00,0,0,@Zomato @swiggy_in @SwiggyCares @zomatocare @MoHFW_INDIA @PMOIndia,
42,"@BlueTokaiCoffee my queued order arrived this morning. Along with my zomato order of beans from the Bandra cafe a week ago, I’m all set to ride out the lockdown. Much thanks to you &amp; your delivery partners. ",2020-04-03 16:58:46+00:00,0,1,@BlueTokaiCoffee,
43,"Hello all, zomato is doing a great job of supplying relief kits with ration(rice and pulses etc) to a lot of migrant workers in the big cities who have become out of work now because of lockdown. If you are interested you can make a donation. Pls spread the word #Covid_19",2020-04-03 17:11:18+00:00,6,20,,#Covid_19
44,"Dear sir, Do something for swiggy delivery boy...now a days there is less order, and less payment due to lockdown we have only one source of income. Sir please help. Thanks @swiggy_in",2020-04-03 17:11:41+00:00,0,1,@swiggy_in,
45,"Dear sir, Do something for swiggy delivery boy...now a days there is less order, and less payment due to lockdown we have only one source of income. Sir please help. Thanks @narendramodi",2020-04-03 18:19:34+00:00,0,1,@narendramodi,
46,"ma'am. Things r getting worse.neither government is taking action nor ppl are getting mature abt the covid19 ,in Bangalore hotels are opened swiggy , zomato , bakery etc are open I ask where is lockdown where is hygiene ?? First show these....blaming china wil do it sm othr time",2020-04-04 04:53:33+00:00,0,0,,
47,"@PMOIndia @narendramodi @asadowaisi @sriramulubjp @BSYBJP @tv9kannada @publictvnews Things r getting worse.neither government is taking action nor ppl are getting mature abt the covid19 ,in Bangalore hotels are opened swiggy , zomato , bakery etc are open I ask where is lockdown",2020-04-04 05:02:17+00:00,0,0,@PMOIndia @narendramodi @asadowaisi @sriramulubjp @BSYBJP @tv9kannada @publictvnews,
48,"Ugh, this lockdown! Stay put for a few days more. We are delivering however, as we have always been, and the safest way at it. Check @ZomatoIN, @swiggy_in?",2020-04-04 06:26:41+00:00,0,1,@ZomatoIN @swiggy_in,
49,"Thank you @amazonIN, @Flipkart, @swiggy_in, @Zomato, @bigbasket_com, @Grofers for supporting Indians during the lockdown. It is our turn to help keep your employees safe! DM us! #IndiaFightsCorona #covidwarriors #Telemedicine #employeewellbeing #lockdown ",2020-04-04 06:28:34+00:00,3,4,@amazonIN @Flipkart @swiggy_in @Zomato @bigbasket_com @Grofers,#IndiaFightsCorona #covidwarriors #Telemedicine #employeewellbeing #lockdown
50,"There might be some percentage, not 70, post the lockdown too. The safety paranoia isn’t going away soon unless partners on Zomato, Swiggy have some safety certification on app but maybe that won’t be enough. There could a near permanent demand shrink in the coming months.",2020-04-04 07:36:52+00:00,0,0,,
51,Do you require a reason to have cakes? My friend in my society ordered this cake for her daughter to keep her spirit's high during the lockdown! Only mom's can do this! #cakedecorating #cake #food #foodpandaTH #zomato #StayAtHomeAndStaySafe #Lockdown21,2020-04-04 07:55:51+00:00,0,0,,#cakedecorating #cake #food #foodpandaTH #zomato #StayAtHomeAndStaySafe #Lockdown21
52,The most favourite Rusk in India. What could be more better than eating Gud Wala Good Rusk in this #lockdown situation. Now you can order your favorite #Veetaday rusk online on: Swiggy And OnlineKaka. For business query call +91- 88818-20820 http://www.veetaday.com,2020-04-04 10:17:40+00:00,0,1,,#lockdown #Veetaday
53,@swiggy_in @Zomato @ZomatoIN during lockdown its good to work on minimal staff and u guys ar going a great job. But y stop COD. The person is giving food. There is no point of stopping tgat. A lot of INDIANS do not operate online.,2020-04-04 10:24:00+00:00,0,0,@swiggy_in @Zomato @ZomatoIN,
54,I just did. You could too. Help by donating 'Feed the Daily Wager' by Zomato Feeding India (@FeedingIndia) to provide food to daily wagers who lost their livelihood to COVID-19 lockdown. Click to donate – http://feedingindia.org/donate http://zomato.com/blog/feed-dail https://www.feedingindia.org/donate,2020-04-04 11:15:33+00:00,0,0,@FeedingIndia,
55,"I haven’t stepped outside the gate since March 21. My #Lockdown Lifesavers have been @Flipkart (essentials delivered in 3 days), @swiggy_in (nearby veg shops) @HelloMilkbasket &amp; @myfreshtohome Everyone else has disappointed. Especially @bigbasket_com (despite being a bbstar)",2020-04-04 11:44:54+00:00,0,1,@Flipkart @swiggy_in @HelloMilkbasket @myfreshtohome @bigbasket_com,#Lockdown
56,"And people have stopped using Swiggy, Zomato, Uber eats and other such services. I bet their A1c and other numbers will look better after this lockdown! Conversely they may be less active and watching more TV and be more stressed! Lets hope its the good outcome ",2020-04-04 13:20:28+00:00,2,6,,
57,"Dear @swiggy_in , It's a nice way to take the advantage of the lockdown. ",2020-04-04 13:50:36+00:00,0,1,@swiggy_in,
58,@Zomato please look into this. How during this lockdown you allow customer to choose pickup order from restaurant. This is serious breach. @MoHFW_INDIA,2020-04-04 14:57:26+00:00,0,0,@Zomato @MoHFW_INDIA,
59,@ZomatoIN zomato using a lockdown periods to sell their stale food.And providing zomato coupon of same amount as order amount with 1 month validity..incase if you raise an complain.i received stale sweets along with delighted fungus and cockroach..Thankyou zomato ,2020-04-04 15:39:22+00:00,1,2,@ZomatoIN,
60,"@1mgOfficial is taking utter advantage of lockdown. Services like grofers, swiggy, Spencer are delivering orders but 1mg is shifting dates everyday. My order is not yet delivered even after doing advanced payment and also the order was of 19th march. This is pathetic.",2020-04-04 16:22:13+00:00,0,0,@1mgOfficial,
61,"Since the lockdown, reputed restaurants have seen a dip in their ratings on Swiggy in Belgaum. This could be a reflection on both Swiggy and the restaurants.",2020-04-05 07:52:23+00:00,0,0,,
62,"This #lockdown is a fantastic opportunity to cut down, if not give up eating restaurant food, and ordering in. Uninstalled @ZomatoIN and @swiggy_in. Hopefully, for good.",2020-04-05 07:59:00+00:00,0,0,@ZomatoIN @swiggy_in,#lockdown
63,A small but nice gesture to acknowledge people who are providing services during the lockdown. @Zomato has replaced the usual bike icon with that of an superhero. Quite apt for the current times! ,2020-04-05 08:09:19+00:00,0,4,@Zomato,
64,@swiggy_in I had placed. #68914211913 this order from swiggy for pizzas. As I was at home during lockdown....Order never got delivered had to follow up rigrously with swiggy for a refund which I don't know would ever be processed. Also there was no intimation from your end,2020-04-05 09:48:36+00:00,0,0,@swiggy_in,
65,"Lockdown till now :12 days of complete self cooking and survival. Practical experiment on - Surviving without a fridge, tv, mixer grinder, washing machine, swiggy, zomato, amazon, flipkart etc. Kind of detox for the body and mind..",2020-04-05 11:01:56+00:00,0,1,,
66,People will/should prefer to stay at home even post the lockdown for couple of months. Swiggy/zomato/amazon/grofers/bigbasket will see a max boost in sales. Restaurants/Hotels/Toys/AC etc will see a jump for sure.,2020-04-05 11:06:40+00:00,0,3,,
67,"@deepigoyal hello, what abt them who is working in zomato as delivery boys and their work got affected by lockdown and unable to work. I M one of them . Pls help me pls provide me a kit of ur distribution food or give me some money to buy food.",2020-04-05 11:47:12+00:00,0,0,@deepigoyal,
68,"It's ok, you don't have customer support during this lockdown,but need to improve ur service seriously . I have ordered 1300 worth pizzas and gave a advance tip to ur rider, despite that one pizza was missing also poor packaging. @swiggy_in @SwiggyCares @PizzaHutIN @pizzahut",2020-04-05 16:55:56+00:00,0,0,@swiggy_in @SwiggyCares @PizzaHutIN @pizzahut,
69,"I'm just a normal somebody who cares. And while I don't know how to splurge during this lockdown, I've extended my support to families in need. Have you? #Covid19India #Zomato #FeedingIndia",2020-04-05 17:21:54+00:00,1,6,,#Covid19India #Zomato #FeedingIndia
70,"Just close down your business @bigbasket_com. You have lost the opportunity to scale your business model in lockdown. Learn from @Zomato &amp; @swiggy_in on how they catered in these days. 12+ days of lockdown, no available slots ever in a METRO ignore Tier 2/3 cities.",2020-04-05 20:52:16+00:00,0,1,@bigbasket_com @Zomato @swiggy_in,
71,A big Thank You from us to the warriors of @bigbasket_com @Grofers @amazonIN @swiggy_in @Zomato @DunzoIt #togetherforindia #StayHome #DeliveryPartners #HomeDelivery #Essentials #Lockdown ,2020-04-06 04:32:04+00:00,4,9,@bigbasket_com @Grofers @amazonIN @swiggy_in @Zomato @DunzoIt,#togetherforindia #StayHome #StayHome #DeliveryPartners #HomeDelivery #Essentials #Lockdown
72,"Such a negative thought you have , lockdown has been imposed so that virus does not spread , you can find the list of shops here for home delivery http://supplymitra-up.com , you can use swiggy ,zomato , plz co-operate",2020-04-06 05:53:07+00:00,0,0,,
73,@swiggy_in i made an order with swiggy on a restaurant where the delivered food is not proper in such a lockdown i couldn't get any other option as well . Here I couldn't reach the swiggy executive at all frustrating. So reached the respective restaurant and they agreed.,2020-04-06 06:32:24+00:00,0,0,@swiggy_in,
74,"..and crazily - admit it you are addicted to fatty fried food and you will gorge on it the moment you are released, and ""hey I've been in a lockdown for 20+ days I deserve this"" will your cover and will become a normal 4. Swiggy, Zomato, Dineout, easydiner will all put out...",2020-04-06 07:07:01+00:00,0,20,,
75,"Lockdown birthday party idea (h/t @bibhasdn): Swiggy group plan wherein everyone gets a slice of cake delivered home. Make it happen, @swiggy_in.",2020-04-06 10:32:09+00:00,2,8,@bibhasdn @swiggy_in,
76,@Zomato item missing careless restaurant and Zomato Zomato sucks didn't get refund sitting with half order... miserable condition order id.1877857437 location Bangalore Guys be carefulin this lockdown you might have to starve coz of people's carelessnes . ,2020-04-06 10:39:38+00:00,0,0,@Zomato,
77,"I am reporting this Tweet, reporting Zomato, and staging a Dharna outside the office of all CMs of South Indian states once the lockdown is lifted ",2020-04-06 15:10:33+00:00,0,0,,
78,@swiggy_in Please start a fund for incentivising/helping delivery partners affected by lockdown.I am willing to contribute.,2020-04-06 15:32:34+00:00,0,0,@swiggy_in,
79,Many daily wagers have lost their livelihood due to the #CoVID_Lockdown. Thanks to #Zomato for entrusting #NEERANJALI_NPO for the distribution of Ration to the underprivileged under its project #Feeding_India. #Feed_the_daily_wager,2020-04-06 16:32:46+00:00,3,19,,#CoVID_Lockdown #Zomato #NEERANJALI_NPO #Feeding_India #Feed_the_daily_wager
80,Sir there is a permission to swiggy &amp; Zomato online services.When I myself went to the restaurant in the night which is 200mtr from house. They denied my entry. Later I ordered food paying 70% extra using swiggy. They canceled my order after an hour. Misuse of during lockdown.,2020-04-06 19:31:14+00:00,0,0,,
81,The lockdown has made us all such good chefs that the restaurant business really got to pull their socks up when this is all over. @Zomato @swiggy_in,2020-04-06 20:37:52+00:00,0,1,@Zomato @swiggy_in,
82,#swiggy I am surprised that ur app select automatically address and when I press cancel order ur team take response so late that they charge me for this food wastage #Swiggywosrst #service #lockdown ,2020-04-07 07:01:54+00:00,0,1,,#swiggy #Swiggywosrst #service #lockdown
83,"Hi. Can you give details of the delivery executive, if there is a way to reach out to him? I am doing a story on the police response during the lockdown. Thanks",2020-04-07 09:19:28+00:00,0,0,,
84,I received bad quality food from swiggy in lockdown period.. First I have to wait for More then delivery time and after that I received very bad quality food from swiggy.. It is ridiculous... @swiggy_in @SwiggyCares dal makhni like water dal..,2020-04-07 09:24:41+00:00,0,0,@swiggy_in @SwiggyCares,
85,"@Zomato You guys at zomato are doing business of profit in this lockdown time.. I had ordered pizza from Zomato the order was defective and pepsi was Missing .. I contacted support dey said "" we can't do anything call Domino's.."" really?? Why list Domino's on zomato then?",2020-04-07 09:29:03+00:00,0,0,@Zomato,
86,Swiggy is and fake app disgusting app don't installed it. I have a coupon code it's epire date is8 April after lockdown swiggy didn't delivered me my near restaurant and I said please extend myvoucher validity he said no I want justice @SwiggyCares @swiggy_in @sriharshamajety,2020-04-07 09:52:16+00:00,0,0,@SwiggyCares @swiggy_in,
87,Swiggy’s personalized marketing doesn’t consider the lockdown I guess.. not a single store is open on the app and still! ⁦@SwiggyCares⁩,2020-04-07 12:44:53+00:00,0,0,@SwiggyCares,
88,"Which healthy foods would you choose to eat during this lockdown? Order now to get 30% of on swiggy and zomato. Stay home, Stay safe and Eat healthy. Let's not give any excuses to your body when it comes to eating healthy. #indiafightscorona #covid_19 #day14 #day12lockdown",2020-04-07 13:11:36+00:00,0,0,,#indiafightscorona #covid_19 #day14 #day12lockdown
89,"Things this lockdown has taught me: Have a habit of saving Reduce the usage of Credit Cards, use only when needed Zomato / Swiggy are just habits",2020-04-07 13:32:02+00:00,0,0,,
90,Dear sir iam a zomato delivery boy as our CM KCR sir said food delivery boys don't stop on lockdown period today i have face the problem sir road no36 checkpoint sir stop given challn so sir please remove this challan only because right now critical situation please understand me ,2020-04-07 13:51:34+00:00,0,0,,
91,Missing the vibe! Stay Safe Everyone #lockdown #fforfries #coronaupdatesindia @swiggy_in @ZomatoIN @SelectCITYWALK,2020-04-07 13:51:40+00:00,0,2,@swiggy_in @ZomatoIN @SelectCITYWALK,#lockdown #fforfries #coronaupdatesindia
92,Should revise the targets to a reasonable number @swiggy_in . I am sure they would have the data on Logged In del execs and how many hours they worked. Do it at least till the lockdown persists.,2020-04-07 13:57:59+00:00,0,0,@swiggy_in,
93,"@Zomato @ZomatoIN @zomatocare I order food for my mother and the rider calls, not only is he rude and disrespectful but asks for her to come and collect the order 600 meters away in a city which is under a lockdown. Unbelievable!",2020-04-07 14:09:20+00:00,1,0,@Zomato @ZomatoIN @zomatocare,
94,2/2 Adding @jagograhakjago @aajtak @anjanaomkashyap @BlrCityPolice @TOIIndiaNews @PMOIndia @MoHFW_INDIA @narendramodi Can anyone look into this matter in the situation of Lockdown or else this situation is allowing @Zomato to take as many advantages as possible.,2020-04-07 15:34:21+00:00,0,0,@jagograhakjago @aajtak @anjanaomkashyap @BlrCityPolice @TOIIndiaNews @PMOIndia @MoHFW_INDIA @narendramodi @Zomato,
95,I ordered Meal&look what i got. If lockdown bothers you then shutdown youre outlets for a while or minimise youre prices. Is this the proper mcd burger? McD was only on which i was believing blindly from last10yrs. Unbelievable @mcdonaldsindia @swiggy_in @fssaiindia,2020-04-07 16:39:44+00:00,0,0,@mcdonaldsindia @swiggy_in @fssaiindia,
96,What a joke .india lockdown completely.can u say Restaurant name and address .which state..ur zomato guy sitting home without food delivery guy how much money and food u provided till now?..tell dis joke to ur office staff and rich people.,2020-04-07 16:40:54+00:00,0,0,,
97,"Bhai, lockdown hai. Badi mushkil se aur apni jaan khatre me daalkar @ZomatoIN @swiggy_in ke delivery boys delivery kar rahe hai. Atleast thoda to respect se baat kar le. Easily aur ache se bhi puch sakta hai bhai. Hai to apne hi Indians. Have a great dinner.",2020-04-07 16:44:22+00:00,0,0,@ZomatoIN @swiggy_in,
98,Shared . This truly shows how quality checks work at your end and then you add some images related to safety and hygiene during this lockdown. #lockdowneffect Shame on #zomato.,2020-04-07 17:08:49+00:00,0,1,,#lockdowneffect #zomato
99,"As the world stays at home to fight #COVID19, delivery services are surging. Indian food delivery startup Swiggy just took in an add'l. $43M to expand its business, bringing its total valuation to $3.6B — as India's 1.3B people are in a 3 week lockdown. ",2020-04-07 19:45:03+00:00,0,1,,#COVID19
100,@narendramodi @AmitShah @rajnathsingh @PMOIndia Please allow Take Out from Restaurants. Allow Zomoto and Swiggy to supply food. Improve supply chain and ease lockdown in Farm Sector. Relaxed Lockdown for certain hours in the staggered rolling manner in Cities and Town,2020-04-08 02:42:18+00:00,0,1,@narendramodi @AmitShah @rajnathsingh @PMOIndia,
101,"Craving for Fast food cuisines in this quarantine period? Don't worry Come take your parcel or order on swiggy From Emmanuel Fast Food, Calangute Call : 9823073078 #lockdown #quarantine #tasty #qualified #fast #food #calangute #Baga",2020-04-08 04:07:20+00:00,0,0,,#lockdown #quarantine #tasty #qualified #fast #food #calangute #Baga
102,This is just an automated response which flags the bugs in your software why should I be penalised for your own goof ups your delivery boy cancels the order AFTER picking up as he cannot get past a lockdown barrier as he is not in uniform @swiggy_in @SwiggyCares,2020-04-08 05:13:26+00:00,0,0,@swiggy_in @SwiggyCares,
103,"@Zomato Sir, I live in Bhusawal Maharashtra today I ordered from Zomato From Hotel Bilal And The Food I Get Was Stale food so I request You to Please Take Action Against the Hotel Management They Had In this Lockdown serious situation our country fight with covid19 and ",2020-04-08 05:58:51+00:00,0,0,@Zomato,
104,"It's time Karnataka excise brings back @HipBarApp and issue delivery licenses to Dunzo, Swiggy go, Etc. It will be a sand step to get out of lockdown when they plan to open my liquor stores. Else, expect stampedes and a whole lot of bootlegging",2020-04-08 07:39:30+00:00,7,28,@HipBarApp,
105,@SwiggyCares @swiggy_in thanks a lot for best services due in lockdown thanks again ,2020-04-08 08:31:04+00:00,0,1,@SwiggyCares @swiggy_in,
106,"The delivery folks of @bigbasket_com, @Flipkart, @amazonIN, @swiggy_in and others are doing a terrific service during this lockdown. However, what's acutely missing in our gig workforce ecosystem - an easy way to tip digitally! Digital tips should be more socially acceptable ",2020-04-08 08:37:24+00:00,4,12,@bigbasket_com @Flipkart @amazonIN @swiggy_in,
107,"Have seen it on Zomato. Uber, not yet. I was also referring to a simple act of, for eg, scanning a QR code to give tips directly to the individual (and they not feeling ashamed!), or these companies adding an option post delivery saying ABC delivered during lockdown, want to tip?",2020-04-08 08:47:24+00:00,0,0,,
108,"In Kolkata within home radius every food item like vegetable, fish, meat & swiggy is also available for delivery. But in Guwahati ( Assam) is still a dream during Lockdown",2020-04-08 10:02:28+00:00,0,0,,
109,How does that help me? You expect me to accept stale food and not demand a refund for it? The food was rotten and was stinking. Do not take the lockdown as an excuse to dupe consumers Swiggy Please refund the amount of Rs 430 (for the two items as per the bill) + taxes!,2020-04-08 10:21:17+00:00,0,0,,
